CATS21,IMLSN1,HVSI11,FOCSN1,EXTSN1,BM_IJ1,ES_011(X),ES_011(Y),ES_011(X-VRN),ES_011(Y-VRN),ES_021(X),ES_021(Y),ES_021(X-VRN),ES_021(Y-VRN),ES_022(X),ES_022(Y),ES_022(X-VRN),ES_022(Y-VRN),EQ_021(X),EQ_021(Y),GVMTK1,GS_T_1,ESP021,CHP021,MQX031,MQY031,MSX031,MSX031,BM_AN1,Phase Meter-Freq,Phase Meter-Phase,DATE/TIME,TYPE_0,TYPE_1,CHARGE_STATE_0,CHARGE_STATE_1,INJ_VOLTAGE,SF6_pressure,TOTAL_UP_CHARGE,GVM,Energy
2.224664225,0.5995115995,-190.0854701,0.6898656899,7.008547009,20.8346685,-0.09970674487,-0.4046920821,-0.2622710623,-0.2813186813,0.5219941349,-0.005865102639,-0.2754578755,-0.3252747253,-0.1583577713,0.2639296188,-0.4717948718,-0.2857142857,4.728937729,4.278388278,13.12332112,141.9491525,0.6446886447,21.40762463,12.97932403,13.33943694,0.00152590219,-1.21919585,23.92309453,7.00E+03,7.348,23-11-2021 09:46:44,0,1,6,11,-190,87.2,45.5,12.88,155
2.224664225,0.5982905983,-189.98779,0.6874236874,7.003663004,20.8346685,-0.09970674487,-0.4046920821,-0.2608058608,-0.2813186813,0.5219941349,-0.005865102639,-0.2754578755,-0.3340659341,-0.1583577713,0.2639296188,-0.4732600733,-0.2871794872,4.728937729,4.278388278,13.12820513,141.9491525,0.6446886447,21.40762463,12.97932403,13.33943694,0.00152590219,-1.21919585,23.92309453,7.00E+03,7.683,23-11-2021 09:46:49,0,1,6,11,-190,87.2,45.5,12.88,155
2.222222222,0.5982905983,-190.4761905,0.6898656899,7.003663004,20.8346685,-0.09970674487,-0.4046920821,-0.2637362637,-0.2813186813,0.5219941349,-0.005865102639,-0.2754578755,-0.3487179487,-0.1583577713,0.2639296188,-0.4732600733,-0.2857142857,4.728937729,4.278388278,13.12820513,142.0963365,0.6446886447,21.40762463,12.97932403,13.33943694,0.00152590219,-1.21919585,23.92309453,7.00E+03,7.679,23-11-2021 09:46:53,0,1,6,11,-190,87.2,45.5,12.88,155
2.222222222,0.5946275946,-190.2808303,0.6886446886,6.993894994,20.8346685,-0.09970674487,-0.4046920821,-0.2652014652,-0.2798534799,0.5219941349,-0.005865102639,-0.2769230769,-0.3282051282,-0.1583577713,0.2639296188,-0.4717948718,-0.2871794872,4.728937729,4.278388278,13.12332112,141.9491525,0.6461538462,21.40762463,12.97932403,13.33943694,0.00152590219,-1.21919585,23.92309453,7.00E+03,7.913,23-11-2021 09:46:57,0,1,6,11,-190,87.2,45.5,12.88,155
2.222222222,0.5970695971,-190.6715507,0.6910866911,7.008547009,20.8346685,-0.09970674487,-0.4046920821,-0.2637362637,-0.2798534799,0.5219941349,-0.005865102639,-0.2754578755,-0.3443223443,-0.1583577713,0.2639296188,-0.4717948718,-0.2857142857,4.728937729,4.278388278,13.11843712,141.9491525,0.6461538462,21.40762463,12.97932403,13.33943694,0.00152590219,-1.21919585,23.92309453,7.00E+03,6.45,23-11-2021 09:47:01,0,1,6,11,-190,87.2,45.5,12.88,155
2.224664225,0.5958485958,-190.2808303,0.6898656899,7.008547009,20.8346685,-0.09970674487,-0.4046920821,-0.2637362637,-0.2813186813,0.5219941349,-0.005865102639,-0.2754578755,-0.3355311355,-0.1583577713,0.2639296188,-0.4732600733,-0.2871794872,4.728937729,4.278388278,13.11355311,142.0963365,0.6446886447,21.40762463,12.97932403,13.33943694,0.00152590219,-1.21919585,23.92309453,7.00E+03,6.906,23-11-2021 09:47:05,0,1,6,11,-190,87.2,45.5,12.88,155
2.224664225,0.5995115995,-190.6715507,0.6862026862,6.998778999,20.8346685,-0.09970674487,-0.4046920821,-0.2622710623,-0.2813186813,0.5219941349,-0.005865102639,-0.2769230769,-0.3531135531,-0.1583577713,0.2639296188,-0.4717948718,-0.2857142857,4.728937729,4.278388278,13.11355311,142.0963365,0.6446886447,21.40762463,12.97932403,13.33943694,0.00152590219,-1.21919585,23.92309453,7.00E+03,7.076,23-11-2021 09:47:09,0,1,6,11,-190,87.2,45.5,12.88,155
2.227106227,0.5982905983,-190.1831502,0.6874236874,6.989010989,20.8346685,-0.09970674487,-0.4046920821,-0.2622710623,-0.2813186813,0.5219941349,-0.005865102639,-0.2769230769,-0.3501831502,-0.1583577713,0.2639296188,-0.4717948718,-0.2857142857,4.728937729,4.278388278,13.11843712,142.0963365,0.6461538462,21.40762463,12.97932403,13.33943694,0.00152590219,-1.21919585,23.92309453,7.00E+03,7.1,23-11-2021 09:47:13,0,1,6,11,-190,87.2,45.5,12.88,155
2.227106227,0.5995115995,-190.7692308,0.6862026862,6.998778999,20.8346685,-0.09970674487,-0.4046920821,-0.2652014652,-0.2813186813,0.5219941349,-0.005865102639,-0.2769230769,-0.356043956,-0.1583577713,0.2639296188,-0.4717948718,-0.2871794872,4.728937729,4.278388278,13.12332112,142.0963365,0.6461538462,21.40762463,12.97932403,13.33943694,0.00152590219,-1.21919585,23.92309453,7.00E+03,6.917,23-11-2021 09:47:17,0,1,6,11,-190,87.2,45.5,12.88,155
2.227106227,0.5995115995,-190.4761905,0.6874236874,7.008547009,20.8346685,-0.09970674487,-0.4046920821,-0.2652014652,-0.2813186813,0.5219941349,-0.005865102639,-0.2769230769,-0.3472527473,-0.1583577713,0.2639296188,-0.4717948718,-0.2857142857,4.728937729,4.278388278,13.13308913,142.0963365,0.6446886447,21.40762463,12.97932403,13.33943694,0.00152590219,-1.21919585,23.92309453,7.00E+03,7.066,23-11-2021 09:47:21,0,1,6,11,-190,87.2,45.5,12.88,155
