CATS21,IMLSN1,HVSI11,ES_011(X),ES_011(Y),ES_011(X-VRN),ES_011(Y-VRN),ES_021(X),ES_021(Y),ES_021(X-VRN),ES_021(Y-VRN),ES_022(X),ES_022(Y),ES_022(X-VRN),ES_022(Y-VRN),EQ_021(X),EQ_021(Y),GS_T_1,ESP021,CHP021,Phase Meter-Freq,Phase Meter-Phase,DATE/TIME,TYPE_0,TYPE_1,CHARGE_STATE_0,CHARGE_STATE_1,INJ_VOLTAGE,SF6_pressure,TOTAL_UP_CHARGE,GVM,Energy
2.195360195,1.800976801,-160.8791209,0.1583577713,-1.284457478,-0.007326007326,-0.03223443223,0.4750733138,-0.1114369501,-0.2783882784,-0.4336996337,0.01759530792,0.2521994135,-0.2989010989,-0.2871794872,3.897435897,3.457875458,,0.5274725275,16.12903226,7.00E+03,359.522,15-11-2021 10:38:08,1,0,6,9,-160,87.4,42,12.798,120
2.195360195,1.798534799,-161.1721612,0.1583577713,-1.284457478,-0.004395604396,-0.0336996337,0.4750733138,-0.1114369501,-0.2769230769,-0.4498168498,0.01759530792,0.2521994135,-0.2989010989,-0.2871794872,3.897435897,3.457875458,,0.5289377289,16.12903226,7.00E+03,359.659,15-11-2021 10:38:12,1,0,6,9,-160,87.4,42,12.798,120
2.192918193,1.800976801,-160.6837607,0.1583577713,-1.284457478,-0.004395604396,-0.03223443223,0.4750733138,-0.1114369501,-0.2783882784,-0.4380952381,0.01759530792,0.2521994135,-0.2989010989,-0.2871794872,3.897435897,3.457875458,,0.5289377289,16.12903226,7.00E+03,359.876,15-11-2021 10:38:16,1,0,6,9,-160,87.4,42,12.798,120
2.197802198,1.7997558,-160.976801,0.1583577713,-1.284457478,-0.007326007326,-0.03223443223,0.4750733138,-0.1114369501,-0.2783882784,-0.4600732601,0.01759530792,0.2521994135,-0.2989010989,-0.2871794872,3.897435897,3.457875458,,0.5274725275,16.12903226,7.00E+03,0.083,15-11-2021 10:38:20,1,0,6,9,-160,87.4,42,12.798,120
2.192918193,1.800976801,-160.6837607,0.1583577713,-1.284457478,-0.005860805861,-0.0336996337,0.4750733138,-0.1114369501,-0.2783882784,-0.4366300366,0.01759530792,0.2521994135,-0.2989010989,-0.2857142857,3.897435897,3.457875458,,0.5289377289,16.12903226,7.00E+03,359.588,15-11-2021 10:38:24,1,0,6,9,-160,87.4,42,12.798,120
2.2002442,1.800976801,-161.0744811,0.1583577713,-1.284457478,-0.007326007326,-0.0336996337,0.4750733138,-0.1114369501,-0.2783882784,-0.4336996337,0.01759530792,0.2521994135,-0.2989010989,-0.2871794872,3.897435897,3.457875458,,0.5274725275,16.12903226,7.00E+03,359.861,15-11-2021 10:38:28,1,0,6,9,-160,87.4,42,12.798,120
2.192918193,1.803418803,-161.0744811,0.1583577713,-1.284457478,-0.004395604396,-0.0336996337,0.4750733138,-0.1114369501,-0.2783882784,-0.4483516484,0.01759530792,0.2521994135,-0.2989010989,-0.2857142857,3.897435897,3.457875458,,0.5274725275,16.12903226,7.00E+03,359.723,15-11-2021 10:38:32,1,0,6,9,-160,87.4,42,12.798,120
2.192918193,1.803418803,-160.8791209,0.1583577713,-1.284457478,-0.004395604396,-0.0336996337,0.4750733138,-0.1114369501,-0.2783882784,-0.4351648352,0.01759530792,0.2521994135,-0.2989010989,-0.2871794872,3.897435897,3.457875458,,0.5274725275,16.12903226,7.00E+03,359.8,15-11-2021 10:38:36,1,0,6,9,-160,87.4,42,12.798,120
2.195360195,1.803418803,-161.0744811,0.1583577713,-1.284457478,-0.005860805861,-0.0336996337,0.4750733138,-0.1114369501,-0.2769230769,-0.4468864469,0.01759530792,0.2521994135,-0.2989010989,-0.2857142857,3.897435897,3.457875458,,0.5289377289,16.12903226,7.00E+03,359.71,15-11-2021 10:38:40,1,0,6,9,-160,87.4,42,12.798,120
2.195360195,1.7997558,-160.8791209,0.1583577713,-1.284457478,-0.004395604396,-0.0336996337,0.4750733138,-0.1114369501,-0.2783882784,-0.4395604396,0.01759530792,0.2521994135,-0.2989010989,-0.2871794872,3.897435897,3.457875458,,0.5274725275,16.12903226,7.00E+03,359.672,15-11-2021 10:38:44,1,0,6,9,-160,87.4,42,12.798,120
